Initial cumulative execution times of all Virtual Machines
ID: 1 | Cumulative Execution Time: 0
ID: 2 | Cumulative Execution Time: 0
ID: 3 | Cumulative Execution Time: 0
ID: 4 | Cumulative Execution Time: 0
ID: 5 | Cumulative Execution Time: 0
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #1 for scheduling task # 1
ID: 1 | Cumulative Execution Time: 52.104389
ID: 2 | Cumulative Execution Time: 0
ID: 3 | Cumulative Execution Time: 0
ID: 4 | Cumulative Execution Time: 0
ID: 5 | Cumulative Execution Time: 0
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #2 for scheduling task # 2
ID: 1 | Cumulative Execution Time: 52.104389
ID: 2 | Cumulative Execution Time: 84.113258
ID: 3 | Cumulative Execution Time: 0
ID: 4 | Cumulative Execution Time: 0
ID: 5 | Cumulative Execution Time: 0
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #3 for scheduling task # 3
ID: 1 | Cumulative Execution Time: 52.104389
ID: 2 | Cumulative Execution Time: 84.113258
ID: 3 | Cumulative Execution Time: 85.315323
ID: 4 | Cumulative Execution Time: 0
ID: 5 | Cumulative Execution Time: 0
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #4 for scheduling task # 4
ID: 1 | Cumulative Execution Time: 52.104389
ID: 2 | Cumulative Execution Time: 84.113258
ID: 3 | Cumulative Execution Time: 85.315323
ID: 4 | Cumulative Execution Time: 260.636841
ID: 5 | Cumulative Execution Time: 0
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #5 for scheduling task # 5
ID: 1 | Cumulative Execution Time: 52.104389
ID: 2 | Cumulative Execution Time: 84.113258
ID: 3 | Cumulative Execution Time: 85.315323
ID: 4 | Cumulative Execution Time: 260.636841
ID: 5 | Cumulative Execution Time: 111.251228
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #6 for scheduling task # 6
ID: 1 | Cumulative Execution Time: 52.104389
ID: 2 | Cumulative Execution Time: 84.113258
ID: 3 | Cumulative Execution Time: 85.315323
ID: 4 | Cumulative Execution Time: 260.636841
ID: 5 | Cumulative Execution Time: 111.251228
ID: 6 | Cumulative Execution Time: 92.057571
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #7 for scheduling task # 7
ID: 1 | Cumulative Execution Time: 52.104389
ID: 2 | Cumulative Execution Time: 84.113258
ID: 3 | Cumulative Execution Time: 85.315323
ID: 4 | Cumulative Execution Time: 260.636841
ID: 5 | Cumulative Execution Time: 111.251228
ID: 6 | Cumulative Execution Time: 92.057571
ID: 7 | Cumulative Execution Time: 188.521591
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #8 for scheduling task # 8
ID: 1 | Cumulative Execution Time: 52.104389
ID: 2 | Cumulative Execution Time: 84.113258
ID: 3 | Cumulative Execution Time: 85.315323
ID: 4 | Cumulative Execution Time: 260.636841
ID: 5 | Cumulative Execution Time: 111.251228
ID: 6 | Cumulative Execution Time: 92.057571
ID: 7 | Cumulative Execution Time: 188.521591
ID: 8 | Cumulative Execution Time: 373.210449
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #9 for scheduling task # 9
ID: 1 | Cumulative Execution Time: 52.104389
ID: 2 | Cumulative Execution Time: 84.113258
ID: 3 | Cumulative Execution Time: 85.315323
ID: 4 | Cumulative Execution Time: 260.636841
ID: 5 | Cumulative Execution Time: 111.251228
ID: 6 | Cumulative Execution Time: 92.057571
ID: 7 | Cumulative Execution Time: 188.521591
ID: 8 | Cumulative Execution Time: 373.210449
ID: 9 | Cumulative Execution Time: 75.665932
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
